track_id,artist_1,artist_2,artist_3,track_name,popularity,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
6yt2KwcgKsw2QSY7W9KHXQ,Nelina,Iordanis Agapitos,None,Imunitet,8,2018-12-20T16:49:25Z,0.588,0.926,5,-4.635,0,0.0942,0.132,0.0,0.272,0.736,196.086,227143,4
5xsXJ9sgp8Xy5rznLCjF32,Milko Kalaydzhiev,None,None,Oshte disham,6,2018-11-26T12:00:01Z,0.769,0.721,9,-7.832,0,0.106,0.151,0.0,0.338,0.903,119.851,181326,5
6W95TIb40WYWQH7CFO8Hid,International String Trio,None,None,Por una Cabeza (Tango from the “Scent of a Woman”),34,2018-03-08T12:02:06Z,0.499,0.265,7,-8.933,1,0.0574,0.519,0.029,0.12,0.64,100.163,147507,3
0IsmE3zeRN4NLJTR2yhQGS,Rado Shisharkata,Goti,None,Prikazka za Gana,2,2018-08-06T13:00:20Z,0.682,0.933,7,-4.188,1,0.20800000000000002,0.20700000000000002,0.0,0.323,0.6980000000000001,97.968,214962,4
5UEjuEyIDOMDxtSOrLrrT3,Trio Soprano,None,None,Ima nadezhda,2,2018-12-19T15:05:35Z,0.442,0.782,2,-4.506,1,0.105,0.0597,0.0,0.0763,0.506,175.873,237273,4
6aACHWKDbEHS0DgAOr2Xfh,Ekstra Nina,Vesela,None,Tsaritsata,6,2018-12-15T12:00:10Z,0.8150000000000001,0.801,5,-5.001,0,0.106,0.0235,0.00864,0.274,0.875,95.014,190500,4
7mcEtXc99NlM4iIbcj9CXL,Galin,Lidia,None,Nyama da mi mine,36,2019-02-20T13:00:03Z,0.672,0.839,7,-3.714,1,0.07830000000000001,0.16,0.0,0.212,0.607,81.997,214390,4
3RaNeu1vy6xooSAYm6h1UQ,Galena,Mile Kitic,None,Dobre li si,45,2019-04-22T12:00:04Z,0.5700000000000001,0.844,6,-5.546,0,0.164,0.0212,0.0,0.0746,0.774,156.939,237707,4
63YAKQREBZ22KEBQJNOFas,Preslava,None,None,Piyan,38,2019-07-19T13:00:03Z,0.6950000000000001,0.834,5,-5.594,0,0.0806,0.0826,0.0,0.07060000000000001,0.782,157.956,227848,4
37A9mjY0rTDi5qw9zh9gL5,Preslava,None,None,Iztreznyavash li,35,2019-02-14T11:00:05Z,0.617,0.867,8,-5.548,1,0.09770000000000001,0.007280000000000001,0.0,0.178,0.5,155.941,181731,4
6dLlspYfiur5j8R3u1Sua6,Tsvetelina Yaneva,None,None,Bolka moya,40,2019-06-06T17:42:10Z,0.681,0.798,2,-5.016,0,0.0565,0.028300000000000002,0.0,0.0993,0.756,150.061,239200,4
4VGwMJJ9Al4ENmRN9vsGc8,Tedi Aleksandrova,Sasho Roman,DJ Ned,Nay-boli me,38,2019-07-05T14:00:05Z,0.673,0.842,7,-3.709,0,0.198,0.123,0.0,0.654,0.638,169.945,208235,4
1HFM7MynZQTota9GSdPZt5,Emilia,DENIS TEOFIKOV,None,Tragvay si,37,2019-05-17T15:50:14Z,0.371,0.812,1,-4.92,1,0.0635,0.0649,0.0,0.07350000000000001,0.727,170.119,256743,4
79J8ETyLFUdFTDZHXNNKie,Emilia,DENIS TEOFIKOV,None,Akula,38,2019-05-02T13:33:38Z,0.72,0.836,11,-4.002,0,0.07100000000000001,0.0599,0.0,0.166,0.922,160.097,211000,4
5v1ngTQTFEjKEirsiaKsvQ,Galena,Fiki,None,Lamborghini,42,2019-11-25T13:00:05Z,0.774,0.8270000000000001,0,-4.024,0,0.114,0.292,0.0,0.0852,0.761,144.96,209379,4
6ey3Ohubuir9Rqq9iODQ4N,Galena,None,None,Sartse,35,2019-01-21T16:00:07Z,0.49,0.8210000000000001,2,-5.497,0,0.061900000000000004,0.017400000000000002,0.0,0.35000000000000003,0.44,95.911,207500,4
4wyi5A85WuJRHeZFTYDLhh,Malkata,None,None,Ne me zanimavay,35,2019-05-09T13:00:03Z,0.665,0.908,0,-2.33,1,0.155,0.128,0.0,0.127,0.78,165.986,216145,4
7BkJfV2CTpxy4wywqwDV2M,Roksana,None,None,Spomeni,21,2019-10-07T14:00:00Z,0.455,0.885,10,-4.555,1,0.07690000000000001,0.731,1.0800000000000002e-05,0.178,0.577,179.963,293333,4
5wcPNdRpptulbKgLljGjMh,Galena,None,None,Panika,41,2019-07-26T12:00:06Z,0.34800000000000003,0.717,7,-7.106,0,0.14300000000000002,0.020800000000000003,0.0,0.356,0.531,88.82,209667,4
4QVBJZKMRLl2XsSDGbsf7D,Preslava,Galin,None,Taka ni se pada,39,2019-10-22T13:00:08Z,0.448,0.811,11,-4.255,0,0.115,0.06960000000000001,0.0,0.13,0.578,172.07,228837,4
0iIAmOd9IVJK5KZ7hx8eS5,Malkata,DENIS TEOFIKOV,None,Poludyavash,39,2019-11-15T14:00:06Z,0.686,0.926,0,-2.524,0,0.0325,0.151,0.0,0.176,0.96,150.032,196200,4
3otHC1sWkNLtiU6QFx2cJY,Emrah,Alisia,None,Dusho moya,36,2019-11-28T14:30:04Z,0.628,0.883,3,-4.327,0,0.031,0.17500000000000002,0.0,0.0734,0.859,155.981,214615,4
